序号	对话上文	回复	连接词	本体	喻体
781	少女系烟花，希望你们2019都能像一样幸福！	像猪一样能吃能睡开心快乐就好，像猪一样胖就算了	像...一样	你们	猪

782	8月9日热血全燃，并肩而战！	电影院里支持你！希望电影像这天气一样红火！	像...一样	电影	这天气

783	这少见嘛？有几个人不是笑人无恨人有？	搞得你自己像是圣人一样	像...一样	你自己	圣人

784	季后赛部分球员入场穿搭图集！谁是衣品最好的那个？	伊巴卡这穿得像多啦a梦一样	像...一样	伊巴卡	多啦a梦

785	说说你这么多年来，坚持最久的一件事	像傻子一样倾尽所有去爱一个给不了自己结果的人	像...一样	自己	傻子

786	串烧2018，这50首歌你听过几首？	这个妹纸长得像豚鼠一样，好可爱	像...一样	妹纸	豚鼠

787	休息了一年，再次启航，兴奋又不舍…	哥哥这个胡子乱的像海胆一样……	像...一样	胡子	海胆

788	一个心电图科室男医生的独白…	我做工地的有时候见到女生就像见到亲妈一样激动	像...一样	见到女生	见到亲妈

789	【来稿选登：习教授，银川河东机场在放小猪佩奇】	放个小猪佩奇真没什么你怎么像个神经病一样高兴个啥	像...一样	你	神经病

790	勇士对快船第二场，期待勇士2:0	比赛就像股市一样，跌宕起伏	像...一样	比赛	股市

791	好久不见，甚是想念。直播进行中，还不快来？	我看科创就像科幻片一样	像...一样	看科创	科幻片

792	生活像一袭华美的袍子爬满了虱子	生活就是这样，像过山车一样跌宕起伏。	像...一样	生活	过山车

793	夜深了来聊聊天，你最不可忍耐男生的哪些行为？	遇事没有担当，对亲近的人就像对下属一样，等等	像...一样	对亲近的人	对下属

794	过了这周我就不再出去了真的我lay了	脸好像和蛋糕一样圆哈哈	像...一样	脸	蛋糕

795	你是落日弥漫的橘，天边透亮的星。	你像黄昏一样温柔又迷人	像...一样	你	黄昏

796	说好的甜甜圈展，为什么没有甜甜圈卖！	你也笑的好甜呀！像甜甜圈一样甜！	像...一样	你	甜甜圈

797	全场结束，一方客场1-4不敌广州恒大。	卡拉斯科像小孩一样走了就走了没什么可惜的	像...一样	卡拉斯科	小孩

798	和朋友一起去换了个指甲，支付宝颜色哈哈	小姐姐像妲己一样魅惑！！！我一女的爱死你了	像...一样	小姐姐	妲己

799	浮夸的面膜好适合我啊谢谢GLAMGLOW	这像指甲油一样的面膜效果如何？	像...一样	指甲油	指甲油

800	日本KFC推出“纯骨全家桶”。想吃吗	难道要让我像狗一样去啃骨头	像...一样	我	狗

801	“我回想这几年，就像是完美的蜕变。”深情演绎	当然是那个温柔的像水一样的欢欢啊！！	像...一样	欢欢	水

802	我就是那个对象。我已经束手就擒。	进看守所就好像回家一样哦超喜欢在里面	像...一样	进看守所	回家

803	翡翠，糯种，很大，有裂好像～	像石头一样的东西，最多50吧	像...一样	翡翠	石头

804	想问问大家会万年回购的单品(护肤彩妆都)	减回成功的我可以像女神一样逆袭起来啦	像...一样	我	女神

805	一起好好吃饭（感觉大家都开店的了	每天过的像三餐一样有滋有味儿！	像...一样	每天	三餐

806	对不起…我问一下vlog是什么东西？	以视频的方式像写日记一样记录生活	像...一样	记录生活	写日记

807	万一今晚不发新股了，会不会极不习惯？	就像少女第一次约会一样，怕他不来，又怕他乱来！	像...一样	发新股	少女第一次约会

808	女主邱樱在剧中真的好美，笑起来好甜眼睛里有星星哇	她的演技不错哦，像精灵一样的女生。	像...一样	邱樱	精灵

809	韩国人用的都是些什么魔鬼翻译器？？	“学中文像吃饭一样简单”	像...一样	学中文	吃饭

810	位于阿鲁巴的火烈鸟沙滩，美的像天堂。丨摄影师	好漂亮的火烈鸟，好美，像人间天堂一样	像...一样	火烈鸟沙滩	人间天堂

811	我也想养这么可以的猫咪了我的少女心	喵喵就像自己的丫头一样	像...一样	喵喵	自己的丫头

812	这一天天的咋对我一点信任都没有	哈哈金妈管你像管小孩一样	像...一样	管你	管小孩

813	网络不是法外之地，不能让英雄流血又流泪！	这些人就像蟑螂一样拍死一个跑出一群，没完没了	像...一样	这些人	蟑螂

814	卷花卷是我为数不多的做饭技能	怎么卷的？像花一样好看	像...一样	花卷	花

815	波特兰探亲之旅第一集vlog终于出炉啦～	你的回头一笑，就像这向日葵一样美丽。	像...一样	你	向日葵

816	成功生火的小苞，不愧是掌握电钻的女子	好可爱！像个小孩子一样	像...一样	小苞	小孩子

817	时光一去不复返我家有女初长成	糖豆就像个小公主一样，真可爱呀	像...一样	糖豆	小公主

818	汕头，韶关。点阵激光。照是韶关四次点阵的。	这个是不是本来就不该做点阵啊…感觉像是疤痕一样。	像...一样	点阵	疤痕

819	终于把这个长期临时演员抓了。。	不给她一枪便宜她了就听她像电锯一样大骂	像...一样	她	电锯

820	猜，这是哪里？两种颜色的海……	两种颜色就像太极图一样，一阴一阳	像...一样	两种颜色的海	太极图

821	分享新鲜事33文字是wx加的	指甲油好透亮！像紫葡萄一样看上去好想吃	像...一样	指甲油	紫葡萄

822	高迪的聖家堂鳥瞰日景和夜景。	好整齐呀，像玩游戏一样	像...一样	鳥瞰日景和夜景	玩游戏

823	我是人家我就不买对比通稿，毕竟谁丑谁尴尬。	真长的像鲢鱼一样，五官都不端正	像...一样	人家	鲢鱼

824	刘烨，一个参加自己带瓜子的男人，很皮~	火华社长真的像个嗑瓜子群众一样	像...一样	刘烨	嗑瓜子群众

825	不知是真是假，别cue王一博了，弟弟很好就对了	汪涵老师就像长辈一样爱我们一博，粉丝都很感激	像...一样	汪涵老师	长辈

826	您看着我长大，看着我脆弱一点点变坚强。	愿你一直敏感，一直像孩子一样，而立之年，都会更好	像...一样	你	孩子

827	这个路标实在太不称职了，总是跟着风向跑。	风大点儿，路标能转的更快，像直升机一样起飞	像...一样	路标	直升机

828	红毯造型惊艳亮相，这满屏的魅力等你来接收~	蕾蕾非常适合这个造型，像仙女一样！	像...一样	蕾蕾	仙女

829	螃蟹月饼做的好逼真啊，难道是蟹黄味儿的？！	好像橡皮泥一样，挺可爱的	像...一样	螃蟹月饼	橡皮泥

830	我真的太小气了，我居然在我的草稿本里找到了这个	啊，浅浅怎么这么可爱啊，像是一个小女孩一样	像...一样	浅浅	小女孩

831	当然是难得一条发吃的毕竟我是懒癌晚期一年才一条	虽然你有时像个小孩一样生活不能自理	像...一样	你	小孩

832	“水果藏针”案件频发！澳洲水果市场陷入恐慌！	有些事件竟然会像病毒一样繁殖	像...一样	事件	病毒

833	rt-308.如图黄衣服布偶	我靠我以前也有我记得脸好像超级软像沙包一样	像...一样	脸	沙包

834	Girlsgirls今天在维密扮演了一波伴娘黑～	您的鼻子真的太美啦！！像艺术品一样	像...一样	鼻子	艺术品

835	这么好的天气还是在家喝着冰阔落追剧最好	年年都这样，还是有很多人像疯子一样	像...一样	很多人	疯子

836	总要有帖子记录哥哥的绝美生图未完待续——	等风等你你是否还在故里归途是否也像梦一样如影随形	像...一样	你	梦

837	脚下是舞台四面是金海前方有梦身后有ikun	等风等你你是否还在故里归途是否也像梦一样如影随形	像...一样	你	梦

838	刮这个转印贴纸，现在是我的一大乐趣了	我之前买纸送了一张，真的很解压？？像版画一样	像...一样	这个转印贴纸	版画

839	天老师带你看小鸟观察系列三：素材采集失败	您也是个自由自在像天上的鹰一样的有趣灵魂鸭	像...一样	天老师	天上的鹰

840	主人新买了一个玩具，家里5只小猫咪就不淡定了	性格就像人一样，有一个胆大的	像...一样	小猫咪	人

841	这可能是目前看到的被虎鲸拍得最高的海豹了。	虎鲸像猫一样喜欢戏弄猎物	像...一样	虎鲸	猫

842	【求助】求可以当手机壁纸的奈酱照片，感谢	私心觉得这张的氛围像油画一样w	像...一样	奈酱照片	油画

843	待你长发及腰，下句是什么？【搞笑】	感觉有点怪怪的可怕，像鬼一样	像...一样	你	鬼

844	骄傲！这是人类首次！祝贺成功着陆月球背面！	哇，这就证明这部手机像月亮一样都是坑吧？	像...一样	手机	月亮

845	录变得越来越有趣……我真的是在录节目	真的好有趣啊，就像在演小品一样，有的看了。	像...一样	录节目	演小品

846	每天都要表演，这个节目我都看腻了。	那一身的肉，好像液体一样，哈哈	像...一样	肉	液体

847	即使失败一百次，也不要后悔一次。——东野圭吾	即管经历的时候像梦一样	像...一样	失败	梦

848	'我深陷你其中，并毫无想要逃离的想法	五官线条就像艺术品一样，精雕细琢，分毫不差。	像...一样	五官	艺术品

849	中国十三亿人就这一个牛逼的…	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

850	这么粗的链子都拉不住，简直可怕	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

851	如果世界上只剩下9个男人【搞笑】	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

852	哈哈现在会这手艺的手艺猫不多了【搞笑】	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

853	这只打针的狗子因惧怕开启了震动模式还是最大的档	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

854	图中有一只青蛙，你能找到吗？【搞笑】	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

855	有这样三个姐姐，弟弟在寝室的地位要提高了	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

856	能看懂这个图的都已经结婚了！【搞笑】	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

857	给你们见识一下南方会飞的蟑螂	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

858	“他爱不爱你，性会告诉你”。【搞笑】	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

859	欲言又止的喜欢最心酸【搞笑】	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

860	洗耳催眠，德国小姐姐咬耳音，帮助你快速进入睡眠…	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

861	西安特色小吃，看的我口水都留下来了	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

862	分享一位温柔的男生……妈呀……「搞笑」	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

863	这些勋章，能不能给1万个赞！	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

864	双11前拉赞集能量的你，请对号入座。	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

865	来自易烊千玺的梨涡暴击，我就这样陷进去了	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

866	多少年了，他居然还没亏完啊，比小熊猫还坚挺	文字写的好的就像美女一样，天然有优势	像...一样	文字写的好	美女

867	网友体验西安兵马俑主题酒店，有点心疼	哈哈好像睡在鬼屋里一样	像...一样	体验西安兵马俑主题酒店	睡在鬼屋里

868	越南炫富哥最近又买了顶帽子。	这个戴的搞的像个奴隶一样...	像...一样	越南炫富哥	奴隶

869	你说的不辣是什么不辣？怎么和我想的不一样	现在的重庆应该就像烤火炉一样吧	像...一样	重庆	烤火炉

870	第二期预告cut不许你瞎说你是个宝贝	我看华晨宇也是像个老母亲一样	像...一样	我	老母亲

871	蕾哈娜，詹姆斯迷妹，看老詹的眼神里满满都是爱。	慈祥的眼神像在看自己孩子一样	像...一样	看老詹	看自己孩子

872	贾科长的江湖规矩，你可明白？	饱满的车尾部特别性感，就像美女的翘臀一样。	像...一样	饱满的车尾部	美女的翘臀

873	下个节目，小妹表演吃虾片！像个仓鼠一样	像个仓鼠一样叭叭叭吃太可爱了！睫毛好长！	像...一样	小妹	仓鼠

874	为什么这年代还有人在安静的教室小声读英语啊？淦。	不懂就问。最后那个字到底啥意思。我像文盲一样	像...一样	我	文盲

875	每当人远航归来，他总有故事可说。——叔本华	陕西什么时候能像高考出成绩一样给个具体时间呀	像...一样	给个具体时间	高考出成绩

876	拿的第一个奖感谢很荣幸以后会做的更好！继续时髦	贝泓麟就像混血王子一样…	像...一样	贝泓麟	混血王子

877	俩个人北京腾讯接受湖南卫视新闻当事人的采访	哇期待！这个像纪录片一样	像...一样	采访	纪录片

878	苹果手机你们怎么清理内存和缓存垃圾的？	博主越来越不像个数码博主像个小白一样	像...一样	博主	小白

879	如果永生是这样的形式，你能接受吗？	没有性生活的永生就像没有冰过的可乐一样，没有灵魂	像...一样	没有性生活的永生	没有冰过的可乐

880	女朋友想和她男性朋友合租，我该生气吗？	每次去女朋友家像偷情一样多刺激	像...一样	去女朋友家	偷情

881	夏斌：经济下行政府要带头过紧日子行政支出应减5%	公务员工资降一半让大学生像当兵一样去当公务员吧。	像...一样	当公务员	当兵

882	嗯，好好查查，我赶脚爆炸就是这帮人搞的。	政府的维稳之心像兔子一样在心中乱撞！	像...一样	心	兔子

883	发布了头条文章：《关于分床的那些事儿》	觉得时间到了，自然会分床，就像断奶一样	像...一样	分床	断奶

884	这个下围棋的小姐姐，好帅我可以！！！	而且像某些蓝孩纸一样会脱鞋哎……	像...一样	小姐姐	某些蓝孩纸

885	科普：当你用眼睛看到癌细胞，才知道癌症的可怕！	太可怕了，像病毒一样榨干一个人。	像...一样	癌细胞	病毒

886	一天天的跟我搁这儿叫现在不都睡的跟猪一样？	你怎么醒了还像睡得像猪一样	像...一样	你	猪

887	茅台应该至少提高出厂价20%。	像房子一样大家都是在炒而已，	像...一样	茅台	房子

888	这就是我的眉毛裸体状态本人！！	羡慕！！我的眉毛就像杂草一样又黑又长	像...一样	眉毛	杂草

889	在你的理解中，什么是营销号？	像个机器一样没有人的感觉	像...一样	营销号	机器

890	做人就不能像小饼干那样干干脆脆吗	但是你可以像小熊饼干一样可可爱爱	像...一样	你	小熊饼干

891	经历过的人，估计现在孩子都会打酱油啦！	拨号那声音还挺吵的，像外星语言一样。。	像...一样	拨号那声音	外星语言

892	104kg打个卡，下次100kg再打卡	大康总是忽胖忽瘦的感觉像闹着玩一样	像...一样	忽胖忽瘦	闹着玩

893	2015年的今天，库里赢得了三分球大赛冠军！	斯蒂芬-篮筐像海一样宽广-库里	像...一样	篮筐	海

894	少女系烟花，希望你们2019都能像一样幸福！	我不听我不听，反正不要像猪一样胖就好了。	像...一样	我	猪

895	灿烂小哥:芝士焗排骨还能拉丝呢…	怎么像个傻子一样，哈哈	像...一样	灿烂小哥	傻子

896	收！上午走势没法点评了，你们说吧！	侠哥赚股市的钱像囊中取物一样哈	像...一样	赚股市的钱	囊中取物

897	来，一句话介绍下什么是直男？	就是像钢筋一样直的男人	像...一样	男人	钢筋

898	尽管烟雾缭绕强烈的幸福感也要像风一去仍归	幸福感就不要像风一样了，我希望你吹不散，一直都在	像...一样	幸福感	风

899	【#01】和我一起逛苏州网红店聚集地——平江路	感觉你吃饭时评弹那两位像看傻子一样看着你	像...一样	看着你	看傻子

900	本身五官挺好看的不要糊墙了吧//	泰国化妆品果然牛批，这个不会脱妆像墙掉皮一样吗？	像...一样	脱妆	墙掉皮

901	2018全球最赚钱的前15家公司	云南贵州喝酒像喝水一样排不上号？太假了	像...一样	喝酒	喝水

902	南澳袋鼠岛的日落真是绝美……	就像是一幅画一样，好美哟。	像...一样	南澳袋鼠岛的日落	一幅画

903	网友体验西安兵马俑主题酒店，有点心疼	哈哈，在家笑得快疯了，我妈像看傻子一样看我	像...一样	我	看傻子

904	免费，当然不喝。但，如果买的呢？	反正我是不爱喝咖啡，像喝汽油一样…赶不了这个时髦	像...一样	喝咖啡	喝汽油

905	西藏军区兵哥哥开车，大家感受下	这蛇皮走位看着像玩具车一样，太不真实了	像...一样	蛇皮	玩具车

906	我奶奶看不过去了，给我开了一瓶！！！	抱抱～喝完烦恼就像打出的嗝一样，随风飘散吧～	像...一样	烦恼	打出的嗝

907	什么时候下定决心一定要瘦的？	当别人嘲笑我走路像坦克一样受到了一万点的暴击	像...一样	我	坦克

908	祥瑞保平安祥瑞保平安。求不再腹泻，腿都软了。	头发像金箍棒一样可以变长变短吗	像...一样	头发	金箍棒

909	求求首页别骚了，我闺女真的还小，图里只有三岁	你别这样，搞得我像个恋童癖一样	像...一样	我	恋童癖

910	反馈入会1护手霜又有了，目前库存650	买了可能我得像八爪鱼一样才能把囤的护手霜用完……	像...一样	我	八爪鱼

911	吃不完的食物、就放到我的碗里来、别浪费粮食	小哥哥吃东西的时候好认真啊，就像小孩子一样	像...一样	小哥哥	小孩子

912	我倒不能轻易尝试去做菜，7456！！人果然不能闲	东东像个小傻子一样哈哈也太可爱了8！！	像...一样	东东	小傻子

913	由等主演的今日在横店影视城正式开机！	张总像山一样站在人群中	像...一样	张总	山

914	今天绝对是水平大爆发！！我今儿都没拍照片都靠你了	每一张都像精修大片一样！	像...一样	照片	精修大片

915	评论说说，你有什么改不掉的坏习惯？	一哭就像嚼炫迈一样，根本停不下来	像...一样	哭	嚼炫迈

916	打鼓真是锻炼手臂力量的活动那肌肉~~	为什么感觉她的手会像橡皮筋一样拉好长呢	像...一样	手	橡皮筋

917	相关，全是病双雄，多原型，伽病得很重若雷勿点	眼泪像面条一样垂直往下【X？】	像...一样	眼泪	面条

918	北方的朋友们，今天你们的衣服会直立行走了吗？	袜子都会，像小鸭子一样	像...一样	袜子	小鸭子

919	做狗呢，最重要的是开开心心「搞笑」	做人呢，就要像狗一样，开开心心（joke）	像...一样	人	狗

920	博友们节日快乐！青春是一首歌，努力做最好的自己！	努力做好自己，像蝴蝶一样绽放美丽	像...一样	自己	蝴蝶

921	又开始控评了，这个道歉真的是发自内心的吗？	评论区搞得像邪教组织一样	像...一样	评论区	邪教组织

922	彩云之南，有一个与世无争的地方，远离喧闹和繁华。	是我想要去的地方像仙境一样	像...一样	我想要去的地方	仙境

923	智齿原来是这么拔掉的，看着都疼。。「搞笑贴」	我看着我的智齿从小到大，像看孩子一样	像...一样	我看着我的智齿	看孩子

924	id吃货大虎开金矿这不是唐僧肉吗	吃东西好像要去杀人一样	像...一样	吃东西	要去杀人

925	困了就来叔这听听歌：公众号：唐迟老师	我要捏他脸像捏橡皮糖一样	像...一样	捏他脸	捏橡皮糖

926	关于科比的经典语录，你最先想到的是哪句？	你的防守就像卫生纸一样软	像...一样	防守	卫生纸

927	逛街面对面偶遇前任，你会有什么举动吗？	要镇定毫无波澜就像过路人一样	像...一样	你	过路人

928	吴风：只要我骑的够快，摄影机就拍不到我	哈哈哈吴风像风一样的男子	像...一样	吴风	风

929	瑞雪兆丰年，北京可算下雪啦，真好。	韩老师笑得像个18岁的孩子一样！	像...一样	韩老师	18岁的孩子

930	2018秋冬乏善可陈的一些片段	你好多照片都像油画一样	像...一样	照片	油画

931	晰杨静水刘深云中书这三对直接杀掉我	“他就像亲哥哥一样对我”	像...一样	他	亲哥哥

932	今天夕阳可爱，傍晚在橘色余温里拍了个拖！	有一天我也会像小猴一样做着自己喜欢的事吧	像...一样	我	小猴

933	曾经读到过哪句话让你感同身受？	我不是什么都不懂，只是更愿意像个小孩子一样	像...一样	我	小孩子

934	我最爱的一个男明星，你要幸福哦，永不脱粉！自捞	你就像冬日暖阳一样，总能让人感觉很温暖和安心	像...一样	你	冬日暖阳

935	机场实时：网友实拍，没什么状况……	他们像垃圾一样堆在地上，希望清洁工清理一下	像...一样	他们	垃圾

936	考完客观题考试第一天，你是如何放松的厚厚坐等晒图	像婴儿一样哭一会睡一会	像...一样	你	婴儿

937	今天腿疼到蹲不下去希望明天能好	你怎么每张照片，都像鸭子一样，撅个嘴	像...一样	你	鸭子

938	朱一龙能留住粉，靠的是自身的品格和实力！	第一次追星第一次注册微博，，朱一龙就像初恋一样！	像...一样	朱一龙	初恋

939	中国最美图书馆之天津滨海新区图书馆！	这里的就像梯田一样，很漂亮吗？我喜欢	像...一样	天津滨海新区图书馆	梯田

940	sei也不棱！背着根根！次又又！！	我家3只加菲吃东西像猪一样拱拱拱满地是	像...一样	加菲	猪

941	珍爱网上现在全是骗子、婚托和机器人，谁信谁上当。	从不相信婚恋网，像漂流瓶一样反感。	像...一样	婚恋网	漂流瓶

942	【为什么武汉在数据上不再是火炉城市可还是这么热】	我每天正中午上班路上十五分钟像二哈一样的哈气。	像...一样	我	二哈

943	杨幂读书时的照片，一看这霸气眼神，这小姐姐不好惹	好可爱，幂幂爸爸说小时候幂幂像男孩一样皮	像...一样	幂幂	男孩

944	D＆G道歉背后：失去中国市场就等于失去未来？	我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

945	给小博美洗澡剪毛，真的超级乖了	像只小北极熊一样！萌化了啊	像...一样	小博美	小北极熊

946	太过分了，无害化处理也应该是处死后填埋	太残忍了。日寇当时杀中国人也像杀猪一样吧？	像...一样	杀中国人	杀猪

947	传统老牌VS互联网新贵，智能电视行业也是够刺激的	家里用的是小米电视4，真的是薄的像手机一样	像...一样	小米电视4	手机

948	为努尔基奇祈福，希望能早日康复，回到赛场	愿你能像泡椒一样涅槃归来	像...一样	你	泡椒

949	南方的天空，就是很温柔啊我想康康你们那的天	学校操场，就像翅膀一样	像...一样	学校操场	翅膀

950	公主：听说你们背地里都在说我胖？	像个小孩子一样圆滚滚的	像...一样	公主	小孩子

951	冬天你是喜欢用保温杯，还是普通的杯子？	保温杯，然后像老干部一样喝水（因为太烫）	像...一样	你	老干部

952	匪夷所思，联想真的应该认真地找一个新闻发言人了~	太诚实了，像猪一样……	像...一样	新闻发言人	猪

953	新年前夕很嗨很“顶天”！！花果山可以好好的过年了	感觉你真的像猴子一样皮	像...一样	你	猴子

954	《孔子》里的周迅，漂亮灵动像是落入凡间的仙子。	她像鹿一样的轻盈怎么会有这么好的人类	像...一样	她	鹿

955	这个五一，北京老母亲准备就近安排，廊坊继续走起～	你像个科学家一样，哈哈哈，到处发现	像...一样	你	科学家

956	说一句你喜欢的歌词，其他人接下一句__。	像风一样，你靠近云都下降	像...一样	你	风

957	刘雯吴亦凡合体走秀，气势逼人！	吴亦凡整天像个暴发户一样	像...一样	吴亦凡	暴发户

958	天蝎座真是我认识的最闷骚的星座，没有之一	天蝎座的骚0太多像牛一样固执	像...一样	天蝎座	牛

959	给大家介绍一下东京夹出来的这只多动症法斗	哈哈，好可爱！！像个神经病一样的狗	像...一样	法斗	神经病

960	挤鼻上黑头，挤白头，挤粉刺，第2853部	觉得这鼻子底下全都是像煤蜂窝一样的，天啊	像...一样	鼻子底下	煤蜂窝

961	回到酒店停电...爬楼梯上的楼	花衬衫恶霸，气场像大哥一样	像...一样	花衬衫恶霸	大哥

962	日本一个爸爸给孩子记录的夏天，这种感觉好怀念啊。	太有爱了。像动画片一样	像...一样	记录的夏天	动画片

963	遇到这种情况，你们会怎么做？	还能怎样？最后还不是像父亲一样把她原谅。	像...一样	你们	父亲

964	说说你和爷爷奶奶或者外公外婆的故事吧。	他们像个孩子一样感觉天天都像在谈恋爱	像...一样	他们	孩子

965	想了解英国大学宿舍的同学来瞅瞅	感觉现在读书好像就是去享受一样	像...一样	读书	去享受

966	【月经气味】你的姨妈有味道吗？	每次都觉得那个子宫内膜像猪肝一样	像...一样	子宫内膜	猪肝

967	这是什么垃圾极品男友...【搞笑】	：我的评论就像处女膜一样没人顶过	像...一样	评论	处女膜

968	上一次看到这么追着瑞兹杀的鳄鱼还是稳健棍…	“谁知道他那天脆的像个纸一样”	像...一样	他	纸

969	小二又大又黑又亮的大鼻子！！	我喜欢这个黑色的大鼻孔、像插座一样有安全感	像...一样	大鼻孔	插座

970	在这个社会，保持善良并不是一件容易的事。	对，所以我觉得我现在就像个傻子一样	像...一样	我	傻子

971	说一句你忘不了的歌词，接得上的互粉吧~	你一定要像晨曦一样活，	像...一样	你	晨曦

972	评论抽5名送今天推荐的爱你们	第一眼感觉你像芭比娃娃一样精致	像...一样	你	芭比娃娃

973	做个调查，本碟的粉丝里有没有帅气阳光的男孩子？	碟友怎么像妹子一样拿美图过的照片来自欺欺人？	像...一样	碟友	妹子

974	“我的心里好像打翻了五味瓶”	眼泪像断了线的珠子一样掉下来	像...一样	眼泪	断了线的珠子

975	粉丝求助：高三了，还有救吗？「搞笑」	你怎么穿的像个娘们一样	像...一样	你	娘们

976	“你现在可以试试，看我有什么事会拒绝你。”	十六年了就像一场梦一样	像...一样	十六年	一场梦

977	年轻总裁，工资8000，养你够吗？	那个破手机就像个烫手的砖头一样，在手里换过换过去	像...一样	破手机	烫手的砖头

978	2019有什么小愿望吗？写下来也许有人会帮你实现	活得像自己，妈妈说我在家带孩子像个傻子一样了	像...一样	我	傻子

979	转发“七彩祥云”，等待你的盖世英雄！	殊不知，这云在丽江就像喝水一样，大惊小怪...	像...一样	云	喝水

980	你觉得，火锅中的素菜之王是__？	功夫土豆片薄得像纸一样涮两下就吃又脆又入味～	像...一样	功夫土豆片	纸

981	这整个人是趴地上了么…这礼也忒卑微了吧	泰国那种古代大臣也是开会全像狗一样爬进爬出	像...一样	古代大臣	狗

982	上海飞纽约航班旅客突发疾病东航放油45吨备降救人	这不是像空中撒人民币一样	像...一样	放油45吨	空中撒人民币

983	有你这句话，我马上回邮件去了。啥都不要了	那个美白精华水像胶水一样，用完把我双眼皮都黏住了	像...一样	美白精华水	胶水

984	我来看看阿耶莎又少了多少情敌	这头发看着怎么怪怪的，就像小虫子一样	像...一样	头发	小虫子

985	我想牵着你的手，去敬各位来宾的酒	他吻我的那一刻我像氢气球一样往上飘	像...一样	我	氢气球

986	今天的快乐小王笑得像个两百斤的胖子	小姐姐这个打扮真的像个小公主一样。	像...一样	小姐姐	小公主

987	那名44岁老前锋在点球决胜第6轮致胜的那一刻！哼	哈哈，像个孩子一样，可爱	像...一样	44岁老前锋	孩子

988	晒晒你拍过最有漫画感的照片/江之岛的夕阳	东京街拍，被很多人说像是动画一样	像...一样	东京街拍	动画

989	你的ta，声音是什么样子的？	我就像个哑巴一样，你翻译不了我的声响	像...一样	我	哑巴

990	好怀念给朋友写信并且等候回信的那些时光。	老头娶少妻就得像闺女一样宠着	像...一样	少妻	闺女

991	去了趟洗手间，回来一看就破发了	感觉主审像个傻子一样……	像...一样	主审	傻子

992	用一堆表情符号当字用的有超过15岁的吗？	这种看的好累，给我感觉像看火星文一样	像...一样	表情符号	火星文

993	汉堡现场的照片，蟑螂那边小猫两三只……	感觉这帮人就像轮子一样，一小撮一小撮哪里都有	像...一样	这帮人	轮子

994	田亮终于代表男性同胞对女生化妆提出了质疑哈哈	女生化妆就像装修一样？太直男了	像...一样	化妆	装修

995	2019年春运首日火车票开始发售啦！	我还得武汉的女朋友就像热干面一样非常	像...一样	女朋友	热干面

996	一个！柚子香真的不能自拨！自带快乐因子的香味～	这样的包装的洗发水太可爱了，像一瓶饮料一样。	像...一样	洗发水	一瓶饮料

997	目标已进入我方阵地，立即进入密集火力攻势	这些人去伊拉克和以色列，简直像回家一样吧	像...一样	伊拉克和以色列	回家

998	投稿：感谢蛋黄酥，赐予了我爱情和男朋友。	减回成功的我可以像女神一样逆袭起来啦	像...一样	我	女神

999	20+岁的他，梦想着什么，尝试着什么？期待他的！	减回成功的我可以像女神一样逆袭起来啦	像...一样	我	女神

1000	这身材，这腿，这洗衣机，这饮水机	减回成功的我可以像女神一样逆袭起来啦	像...一样	我	女神

1001	是锦鲤还是柠檬精？再转发拯救一下。0点开奖	减回成功的我可以像女神一样逆袭起来啦	像...一样	我	女神

1002	关晓彤沈月同框两个人对比一下如何？	减回成功的我可以像女神一样逆袭起来啦	像...一样	我	女神

1003	会员日免费辣翅领了吗~给加个餐！	减回成功的我可以像女神一样逆袭起来啦	像...一样	我	女神

1004	给那个无缘走到最后的人说一句话吧。	减回成功的我可以像女神一样逆袭起来啦	像...一样	我	女神

1005	听说数学好的才能算出还不来试试？	减回成功的我可以像男神一样逆袭起来啦	像...一样	我	男神

1006	范冰冰的御用造型师这腿什么水平，女生们羡慕吗	减回成功的我可以像女神一样逆袭起来啦	像...一样	我	女神

